2026-08-29 at 19:56:24 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 19:56:24 | INFO | <class 'pathlib.WindowsPath'>
2026-08-29 at 19:56:24 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin
2026-08-29 at 19:56:24 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 19:56:24 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 19:56:24 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\Cookie\local_cookie.json
2026-08-29 at 19:56:24 | INFO | \Cookie\local_cookie.json
2026-08-29 at 19:56:24 | INFO | {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}
2026-08-29 at 19:56:24 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\question.json
2026-08-29 at 19:56:24 | INFO | \question.json
2026-08-29 at 19:56:24 | INFO | {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}
2026-08-29 at 19:56:24 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\static\GetClientData\UploadInServerClientCookie\ClientCookieData\question.json
2026-08-29 at 19:56:24 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\client\_internal\static\GetClientData\UploadInServerClientCookie\ClientCookieData\question.json
2026-08-29 at 19:56:24 | CRITICAL | [Errno 2] No such file or directory: 'T:\\Н папка\\програмирование\\python\\project\\pythonProject1\\client\\_internal\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json'
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\Log\appFileLog.log
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\client\_internal
2026-08-29 at 20:16:30 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 20:16:30 | INFO | <class 'pathlib.WindowsPath'>
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin
2026-08-29 at 20:16:30 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 20:16:30 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\Cookie\local_cookie.json
2026-08-29 at 20:16:30 | INFO | \Cookie\local_cookie.json
2026-08-29 at 20:16:30 | INFO | {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\question.json
2026-08-29 at 20:16:30 | INFO | \question.json
2026-08-29 at 20:16:30 | INFO | {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\static\GetClientData\UploadInServerClientCookie\ClientCookieData\question.json
2026-08-29 at 20:16:30 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\client\_internal\static\GetClientData\UploadInServerClientCookie\ClientCookieData\question.json
2026-08-29 at 20:16:30 | CRITICAL | [Errno 2] No such file or directory: 'T:\\Н папка\\програмирование\\python\\project\\pythonProject1\\client\\_internal\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json'
2026-08-29 at 20:16:45 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin\Log\appFileLog.log
2026-08-29 at 20:16:45 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin
2026-08-29 at 20:16:45 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\client
2026-08-29 at 20:16:45 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
2026-08-29 at 20:16:45 | INFO | <class 'pathlib.WindowsPath'>
2026-08-29 at 20:16:45 | INFO | T:\Н папка\програмирование\python\project\pythonProject1\programForTecher\admin
2026-08-29 at 20:16:45 | INFO | {'\\Cookie\\local_cookie.json': {'Body': {'time_check_updates': '17:22 22.08.26', 'value_Check': False}}, '\\question.json': {'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бугалтер', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\question.json': {'client_flag': True, 'Body': [{'Qst': {'question_name': 'Кто такой Патрин?', 'answer': ['Бухгалтер ', 'Директор'], 'right_answer': ['Преподаватель'], 'id': 1}}]}, '\\Settings\\SettingsPage\\settings_page.json': {'Body': [{'name': 'version', 'value': 2.1}, {'name': 'url for update', 'value': 'https://github.com/RustFarmer/Test/blob/main/update_url_file.json'}]}, '\\Settings\\UpdateProgram\\UpdateData\\update_url_file.json': {'Body': {'rarFile': 'https://github.com/RustFarmer/Rust-helper/raw/refs/heads/main/v5.1.rar'}}, '\\static\\GetClientData\\UploadInServerClientCookie\\ClientCookieData\\settings.json': {'client_flag': True, 'Body': []}, '\\PassCutOff\\settings.json': {'Body': []}, '\\ImageResultScreen\\imageSettings.json': {'Body': []}, '\\ListBlancQuestion\\listBlancQuestion.json': {'Body': []}}
